﻿Title:,Table 19 - HE qualifiers by HE provider and subject of study
Subtitle:,2016/17
Reference ID:,DT051 Table 19
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-19
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-19.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2018
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
Search:,


"UKPRN","HE provider","(1) Medicine and dentistry","(2) Subjects allied to medicine","(3) Biological sciences","(4) Veterinary science","(5) Agriculture and related subjects","(6) Physical sciences","(7) Mathematical sciences","(8) Computer science","(9) Engineering and technology","(A) Architecture, building and planning","(B) Social studies","(C) Law","(D) Business and administrative studies","(E) Mass communications and documentation","(F) Languages","(G) Historical and philosophical studies","(H) Creative arts and design","(I) Education","(J) Combined","Subject area total"
"10003678","Kingston University","0","830","655","0","0","190","120","375","825","340","580","170","1,160","180","95","150","960","790","0","7,415"
"10007768","The University of Lancaster","60","100","335","0","0","345","355","165","125","0","600","240","1,350","45","305","185","165","110","0","4,480"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405","0","0","405"
"10003861","Leeds Beckett University","0","745","1,165","0","0","0","0","210","260","255","795","240","1,515","220","530","70","490","650","0","7,140"
"10007795","The University of Leeds","675","1,030","785","0","140","795","290","100","965","70","1,075","450","1,785","475","895","610","590","505","0","11,240"
"10003863","Leeds Trinity University","0","15","210","0","0","0","0","0","0","0","70","0","70","120","45","70","5","745","0","1,350"
"10007796","The University of Leicester","300","235","575","0","0","390","160","175","215","0","925","395","830","560","290","400","0","370","0","5,825"
"10007151","The University of Lincoln","0","380","470","0","105","75","0","270","60","120","225","150","1,165","390","115","175","495","135","0","4,340"
"10003956","Liverpool Hope University","0","20","210","0","0","20","10","60","0","0","225","25","120","30","55","100","150","800","0","1,820"
"10003957","Liverpool John Moores University","0","1,760","1,095","0","20","220","60","265","620","415","570","315","975","205","155","135","495","915","0","8,220"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","190","0","0","215"
"10006842","The University of Liverpool","615","430","815","185","35","565","350","245","750","500","585","690","1,775","125","315","320","100","185","75","8,665"
"10003958","Liverpool School of Tropical Medicine","250","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","355"
